id,signal_id,chain,token_address,token_symbol,signal_type,strength,signal_price,signal_time,entry_price,entry_time,size_usd,exit_price,exit_time,exit_reason,pnl_usd,pnl_pct,peak_price,hard_stop_pct,whale_count,whale_tiers,safety_score,momentum_score,composite_score,price_change_5m,price_change_1h,price_change_6h,buys_5m,sells_5m,buys_h1,sells_h1,buy_sell_ratio_5m,buy_sell_ratio_h1,volume_5m,volume_h1,volume_h6,liquidity_usd,mcap_usd,fdv,age_minutes,dex_id,dexscreener_url,has_twitter,has_telegram,has_website,rugcheck_score,buy_tax,sell_tax,notes,config_tag,tp_levels_hit,realized_partial_usd,remaining_fraction,accounting_epoch
L310f519,2b62d60a,solana,8oGoTGPstdxKqe7EHUsboWbz4rbkaPG4FFX38CKbpump,Cuakssant,social_alert,strong,1.101e-05,2026-06-19 16:54:30,1.9252211423965976e-05,2026-06-19 16:54:30,6,1.204e-05,2026-06-19 16:54:56,trailing_stop,0.2266,-37.46,4.450407026863301e-05,-0.35,0,,0.5,0.8,0.71,371.0,371.0,371.0,217,142,217,142,0.604,0.604,14189.4,14189.4,14189.4,0.0,11017.71,11017.71,1.5,pumpfun,https://dexscreener.com/solana/ajvqkpf25l9mmarsvr2wcqakfxxtcylcxbkgy6uxsq7f,False,False,False,0.0,0.0,0.0,live|tx:5XDrX8ebpHuRDKC3REzyau3DwvfK4PLHcAKmcPqQ8rx76VkMBALJJTFSZZzH3Cg4meTNUTPtLjvvoz2vab2dgMUU|fill:0.0000192522|slip:+74.9%|cohort:graduated|sell_tx:5rHyYxkLECDsHL2PQUrbbTpKa25vtSBqYs3rso2MWxyd4JzuaTFugFDo3A7nBxbTKe4gvP9uiM621fcK8rirAJWw|sell_fill:0.0000120400|sell_step:2,v7_entry_filters_2026-06-06,tp_100,1.8,0.7,e4_rt_feed_quote_gate
9ba9abab,c89565db,solana,81VTdBe1cZ11NNAGweAq4qAKZdJtQPCG7h5xrGjBpump,Derp,social_alert,strong,1.294e-05,2026-06-19 18:26:08,1.8861657022669385e-05,2026-06-19 18:26:08,6,1.8319127460940452e-05,2026-06-19 18:26:46,trailing_stop,1.6792,-2.88,4.377027687918295e-05,-0.35,0,,0.6,0.8,0.74,124.0,386.0,386.0,189,122,259,168,0.608,0.607,9223.6,15804.4,15804.4,0.0,12946.36,12946.36,6.2,pumpfun,https://dexscreener.com/solana/ei21zfqfzch8da4qzewqnyivzge3my4vesa2esxpstgc,False,False,False,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,tp_100,1.8,0.7,e4_rt_feed_quote_gate
33ddf9d6,c5b5c561,solana,9DWWHsC6F9G2NqNg7mmLc7fzY8iKs8PRj1zoAaMjpump,GOY,social_alert,strong,1.168e-05,2026-06-19 19:34:14,1.168e-05,2026-06-19 19:34:14,3,1.223e-05,2026-06-19 19:38:06,trailing_stop,0.1413,4.71,2.299e-05,-0.35,0,,0.5,0.8,0.71,175.0,175.0,175.0,137,91,137,91,0.601,0.601,9121.51,9121.51,9121.51,0.0,11689.8,11689.8,2.2,pumpfun,https://dexscreener.com/solana/7qdtyin5y2nv4lbv1i3kcpu2frzhhlf7xsvewyprhbin,False,False,False,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,,0.0,1.0,e4_rt_feed_quote_gate
131b32e5,b8916d46,solana,6cEyr9BNWmtqyAQ7nWWCGvAFv7nxrjQJ3MaMn7Hipump,BUNK,social_alert,strong,7.699e-06,2026-06-19 23:50:21,7.699e-06,2026-06-19 23:50:21,3,3.302e-05,2026-06-19 23:52:53,trailing_stop,7.6246,328.89,3.984e-05,-0.35,0,,0.5,0.8,0.71,125.0,191.0,191.0,57,30,173,132,0.655,0.567,4453.75,16412.97,16412.97,0.0,7699.24,7699.24,6.5,pumpfun,https://dexscreener.com/solana/bvoxf1wjqqamusxlifru6ccavzdc4fn6gh36vjump7zl,False,False,False,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,"tp_100,tp_300",2.79,0.49,e4_rt_feed_quote_gate
183e32d9,d0499d3b,solana,6nqJGCtvXeK8cyXZGK6r5MzK7sNdh83ekbXajaRpump,misantropi4,social_alert,strong,8.842e-06,2026-06-20 06:31:50,8.842e-06,2026-06-20 06:31:50,3,1.482e-05,2026-06-20 06:35:59,trailing_stop,2.3198,67.61,2.637e-05,-0.35,0,,0.5,0.8,0.71,243.0,243.0,243.0,49,12,49,12,0.803,0.803,6678.06,6678.06,6678.06,0.0,8842.06,8842.06,0.9,pumpfun,https://dexscreener.com/solana/dxvqgat9fhttwtzkp3utjwx7twnelavbznajpgfzvtrm,False,False,False,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,tp_100,0.9,0.7,e4_rt_feed_quote_gate
eaa456ce,a64fd792,solana,B9htvTDHSUupH2LuLH3ZPsVPisxnYy5ZdRuTd8r6pump,OPTA.,social_alert,medium,1.816e-05,2026-06-20 09:45:28,1.816e-05,2026-06-20 09:45:28,3,1.107e-05,2026-06-20 09:50:06,hard_stop,-1.1713,-39.04,2.833e-05,-0.35,0,,0.5,0.8,0.71,175.0,648.0,648.0,161,121,251,168,0.571,0.599,12405.13,18981.17,18981.17,0.0,18168.74,18168.74,12.5,pumpfun,https://dexscreener.com/solana/guprxzcbycmthbirggnc4sh8btcztzkxqgvyzb4q69uv,False,False,False,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,,0.0,1.0,e4_rt_feed_quote_gate
1d38d511,6abe6508,solana,HoeQcoQwBA1p2A3jd9AB62d25MUWZiydAxku4P73pump,PATRICK,social_alert,strong,1.212e-05,2026-06-20 15:17:06,1.212e-05,2026-06-20 15:17:06,3,1.364e-05,2026-06-20 15:20:37,trailing_stop,1.1634,12.54,2.7168724597934796e-05,-0.35,0,,0.5,0.8,0.71,370.0,370.0,370.0,196,90,196,90,0.685,0.685,12983.12,12983.12,12983.12,0.0,12121.19,12121.19,1.4,pumpfun,https://dexscreener.com/solana/5eh26asfo6pi2ypffapj4yonrdkt2zb3wcrgu67wafys,False,False,False,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,tp_100,0.9,0.7,e4_rt_feed_quote_gate
41f00cf8,69489a98,solana,7X9e9CM7uM7P1MbnYxae3Dqp2TDCH9sJC33CGsUgpump,JAB,social_alert,strong,1.139e-05,2026-06-20 18:24:31,1.139e-05,2026-06-20 18:24:31,3,1.409682478328762e-05,2026-06-20 18:26:23,trailing_stop,0.7129,23.76,2.192e-05,-0.35,0,,0.5,0.8,0.71,319.0,319.0,319.0,193,119,193,119,0.619,0.619,14269.16,14269.16,14269.16,0.0,11391.8,11391.8,1.3,pumpfun,https://dexscreener.com/solana/6shph48cvyu9vqt6b4nqw9uxt59dymccnauwqujh9kd4,False,False,False,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,,0.0,1.0,e4_rt_feed_quote_gate
c5d91572,4dcb7c99,solana,GV4MhB9AcSLAfp7HN2Ee7f1yHb2FapGrCmSVKxeYpump,Spongebob,social_alert,strong,1.252e-05,2026-06-21 03:50:49,1.252e-05,2026-06-21 03:50:49,3,1.233e-05,2026-06-21 03:53:19,trailing_stop,-0.0455,-1.52,2.03e-05,-0.35,0,,0.6,0.8,0.74,134.0,419.0,419.0,144,102,218,130,0.585,0.626,12370.15,16648.15,16648.15,0.0,12528.33,12528.33,6.6,pumpfun,https://dexscreener.com/solana/47cpqdbfwxynkbbhqnwb43xvnyupeuwzkxgaqnkvhksh,False,False,False,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,,0.0,1.0,e4_rt_feed_quote_gate
0c188b67,7bef3455,solana,BWngwRQe8iKPKeTWaAMWcap37SdzwgkBJaADu3Yxpump,Shiller,social_alert,strong,1.332e-05,2026-06-21 14:29:18,1.332e-05,2026-06-21 14:29:18,3,9.028e-06,2026-06-21 14:30:46,trailing_stop,-0.9667,-32.22,1.769e-05,-0.35,0,,0.5,0.8,0.71,434.0,434.0,434.0,156,83,156,83,0.653,0.653,11692.34,11692.34,11692.34,0.0,13323.0,13323.0,1.5,pumpfun,https://dexscreener.com/solana/ghx47xaphevrvgjv2cmhsx3jdr9q9hyyvqwe9b1iuysl,False,False,False,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,,0.0,1.0,e4_rt_feed_quote_gate
65340d78,b08818c2,solana,HChHr1hsfMHT11RbcpQGcMqaE7YTQLqBKkUYEBpopump,SPURDO,social_alert,strong,2.231e-05,2026-06-21 17:32:09,2.231e-05,2026-06-21 17:32:09,3,1.15e-05,2026-06-21 17:41:43,hard_stop,-1.4536,-48.45,2.608e-05,-0.4,0,,0.8,0.475,0.572,-27.9,-27.9,-27.9,102,61,102,61,0.626,0.626,5938.9,5938.9,5938.9,10812.55,22316.0,22316.0,2.5,pumpswap,https://dexscreener.com/solana/fg3bxgsc15urerr7mhohcex4iecsqmaznqw61aeqnpry,True,False,True,1,0.0,0.0,,v7_entry_filters_2026-06-06,,0.0,1.0,e4_rt_feed_quote_gate
a886a06f,102d89a6,solana,Dhip7mKprKvGWG3Ygd2Q1cSLvGnvU5S4Q2hhsNpXpump,ELENIN,social_alert,strong,1.873e-05,2026-06-21 18:17:09,1.873e-05,2026-06-21 18:17:09,3,9.62e-06,2026-06-21 18:18:21,hard_stop,-1.4592,-48.64,1.873e-05,-0.4,0,,0.8,0.8,0.8,-38.43,-38.43,-38.43,237,130,237,130,0.646,0.646,11849.17,11849.17,11849.17,9876.75,18730.0,18730.0,2.0,pumpswap,https://dexscreener.com/solana/cjv6lgu62a7dszegssupdxphyhmjqmf6a3hhpdjjovch,True,False,True,1,0.0,0.0,,v7_entry_filters_2026-06-06,,0.0,1.0,e4_rt_feed_quote_gate
4d2e56cb,32cc5ecf,solana,F6s4UKxVL6FoxQqSwkSRVWgyN6ZA4YyDspQzo3Xrpump,CALVIN,social_alert,strong,3.717e-05,2026-06-21 21:51:58,3.717e-05,2026-06-21 21:51:58,3,6.548e-05,2026-06-21 21:57:57,profit_lock,1.7846,76.16,7.036e-05,-0.4,0,,0.7,0.673,0.681,25.08,25.08,25.08,266,191,266,191,0.582,0.582,13119.02,13119.02,13119.02,13858.82,37178.0,37178.0,2.3,pumpswap,https://dexscreener.com/solana/cpxtubl9qcjr2ycxaquzuzb9mozrbukjeulnbki255vr,True,False,True,1,0.0,0.0,,v7_entry_filters_2026-06-06,"tp_30,tp_60",0.585,0.525,e4_rt_feed_quote_gate
2d6f0499,193ed66d,solana,ByTjjsUuquyqatTXsr7uf12ddq5HiaXBnYs9GTBRpump,BATMAN,social_alert,strong,2.596e-05,2026-06-22 01:06:59,2.596e-05,2026-06-22 01:06:59,3,1.378e-05,2026-06-22 01:22:04,hard_stop,-1.4076,-46.92,3.084e-05,-0.4,0,,0.75,0.348,0.468,-14.91,-14.91,-14.91,52,26,52,26,0.667,0.667,3419.39,3419.39,3419.39,11582.41,25963.0,25963.0,1.0,pumpswap,https://dexscreener.com/solana/edndaxh63ldoxp8y8uzqg2kcjkkrjfc1djlavirmsakh,True,False,False,1,0.0,0.0,,v7_entry_filters_2026-06-06,,0.0,1.0,e4_rt_feed_quote_gate
e9e6edb5,e8718002,solana,E9iktSD9fi15bt776x9c91PgmFpTK4etwasmZD4zpump,.json,social_alert,strong,2.159e-05,2026-06-22 03:22:00,2.159e-05,2026-06-22 03:22:00,3,2.067e-05,2026-06-22 03:29:39,trailing_stop,0.1805,-4.26,2.821e-05,-0.4,0,,0.6,0.8,0.74,-29.51,-29.51,-29.51,238,188,238,188,0.559,0.559,13134.85,13134.85,13134.85,10595.21,21561.0,21561.0,3.6,pumpswap,https://dexscreener.com/solana/bfalcrl8pvcbg8bcyornrbh9regcujggstypw82zb1d4,False,False,False,1,0.0,0.0,,v7_entry_filters_2026-06-06,tp_30,0.27,0.7,e4_rt_feed_quote_gate
c93d3578,0035da92,solana,8pf88J1k3dekJpap397rjLMmdf19tYeYsDc7BtiPpump,FUGUCOIN,social_alert,strong,2.782e-05,2026-06-22 03:37:00,2.782e-05,2026-06-22 03:37:00,3,1.456e-05,2026-06-22 03:38:26,hard_stop,-1.4299,-47.66,2.782e-05,-0.4,0,,0.8,0.475,0.573,-9.42,-9.42,-9.42,98,49,98,49,0.667,0.667,6621.13,6621.13,6621.13,12032.65,27826.0,27826.0,1.2,pumpswap,https://dexscreener.com/solana/771pmh8saq8zskequ76ur83twwxrsa5ko4hgwqyv7npv,True,False,True,1,0.0,0.0,,v7_entry_filters_2026-06-06,,0.0,1.0,e4_rt_feed_quote_gate
df16adfe,fc0d169c,solana,4fYv1t2f4u1svhb5DW4Sq4q3ux8SxpdQpefkw9Uspump,JOHNPAUL,social_alert,medium,2.259e-05,2026-06-22 05:37:00,2.259e-05,2026-06-22 05:37:00,3,4.157e-05,2026-06-22 05:51:04,profit_lock,1.9083,84.02,4.542e-05,-0.35,0,,0.6,0.8,0.74,163.0,383.0,383.0,159,61,269,114,0.723,0.702,10160.61,17161.53,17161.53,0.0,22593.24,22593.24,12.8,pumpfun,https://dexscreener.com/solana/h5kah7ykx5cp1mtrc92whgf4uaain8hdqx97ogyzgki,False,False,False,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,"tp_30,tp_60",0.585,0.525,e4_rt_feed_quote_gate
0d7141d8,45a7d348,solana,srHnpwL78KG6dQgVKo3ecThYR7zswubVNKkZ4nXpump,WHEN,social_alert,medium,1.729e-05,2026-06-23 00:02:33,2.082827703751571e-05,2026-06-23 00:02:33,3,9.224e-06,2026-06-23 00:06:08,hard_stop,-1.6714,-55.71,2.082827703751571e-05,-0.35,0,,0.6,0.8,0.74,10.8,608.0,608.0,365,225,1074,707,0.619,0.603,13591.9,51901.5,51901.5,0.0,17297.65,17297.65,11.5,pumpfun,https://dexscreener.com/solana/glpk9x62vj4khskxhn2bxxmqswrtkha4s6qbvan2gqir,False,False,False,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,,0.0,1.0,e4_rt_feed_quote_gate
L8297816,45a7d348,solana,srHnpwL78KG6dQgVKo3ecThYR7zswubVNKkZ4nXpump,WHEN,social_alert,medium,1.729e-05,2026-06-23 00:02:33,2.082827703751571e-05,2026-06-23 00:02:33,3,1.1282646057404719e-05,2026-06-23 00:06:08,hard_stop,-1.3749,-45.83,2.082827703751571e-05,-0.35,0,,0.6,0.8,0.74,10.8,608.0,608.0,365,225,1074,707,0.619,0.603,13591.9,51901.5,51901.5,0.0,17297.65,17297.65,11.5,pumpfun,https://dexscreener.com/solana/glpk9x62vj4khskxhn2bxxmqswrtkha4s6qbvan2gqir,False,False,False,0.0,0.0,0.0,live|tx:592nCSyHm353zNt2tqBg8VWFphRKgiVdM15SVVvEz58cEssaUP3JRHR16ADbiA4CxLUzcD7qeW86j886M5B5VqVP|fill:0.0000208283|cohort:graduated|sell_tx:5Tzb1jEpmTT7U9V7s4aA1ZYGshUhPcHSnmXNvzcAFV8pqJS3iogChHSSvwaoNXan7DrCuPR3bwf5vBkEyUManTcL|sell_fill:0.0000112826|sell_step:2,v7_entry_filters_2026-06-06,,0.0,1.0,e4_rt_feed_quote_gate
2fbb62ff,50b78645,solana,3S2AD9ZmzLyUogW2auMQA1wG7Rghvq5vdmDKqaVhpump,MOON,social_alert,strong,1.851e-05,2026-06-23 00:41:40,1.851e-05,2026-06-23 00:41:40,3,8.739e-06,2026-06-23 00:42:48,hard_stop,-0.8385,-52.79,2.739e-05,-0.35,0,,0.5,0.8,0.71,313.0,313.0,313.0,114,32,114,32,0.781,0.781,7855.56,7855.56,7855.56,0.0,18510.81,18510.81,2.4,pumpfun,https://dexscreener.com/solana/fqxyjbf4rex15qecmutsndkdvicz82cl79apfn3jwck7,False,False,False,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,tp_30,0.27,0.7,e4_rt_feed_quote_gate
ebb4944a,f0761503,solana,HhgCq94oxNc19DZVFRiCewgHXgxgaxyBud2QuUdrpump,Diego,social_alert,strong,1.73e-05,2026-06-23 01:46:37,2.3620871518468044e-05,2026-06-23 01:46:37,3,1.112e-05,2026-06-23 01:50:28,hard_stop,-1.5877,-52.92,2.3620871518468044e-05,-0.35,0,,0.5,0.8,0.71,196.0,537.0,537.0,261,164,525,352,0.614,0.599,15211.83,36464.76,36464.76,0.0,17303.88,17303.88,9.7,pumpfun,https://dexscreener.com/solana/7yaxmvqsx6cp9rfhhmv9jvzdeztxajf85b5f6yyah5t1,False,False,False,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,,0.0,1.0,e4_rt_feed_quote_gate
c99748b9,f1126cde,solana,3PGWpRRhTKTP1q1Sysvi6Uxs1VLeZGdnDsUnfi93pump,DIEGO,social_alert,medium,1.655e-05,2026-06-23 01:55:21,2.7390134442343933e-05,2026-06-23 01:55:21,3,3.89e-05,2026-06-23 01:59:46,profit_lock,1.2468,42.02,4.472e-05,-0.35,0,,0.6,0.8,0.74,13.72,636.0,636.0,185,122,718,601,0.603,0.544,8592.02,47838.03,47838.03,0.0,16558.05,16558.05,10.6,pumpfun,https://dexscreener.com/solana/7jfs1ajsqdrxy469t1a4npwd1fwsj1xkfduzq2ycr4ng,True,False,True,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,"tp_30,tp_60",0.585,0.525,e4_rt_feed_quote_gate
def82b76,3cd6ad03,solana,EXSVnNWX3Cjd5s8XdEfKS8Fx28rSx9vDtqTz1ZU79AWm,TRENCHES,social_alert,strong,3.755e-05,2026-06-23 02:26:18,3.755e-05,2026-06-23 02:26:18,3,3.991e-05,2026-06-23 02:34:52,trailing_stop,0.402,6.28,5.79e-05,-0.4,0,,0.6,0.8,0.74,25.65,25.65,25.65,288,216,288,216,0.571,0.571,16658.57,16658.57,16658.57,13803.06,37556.0,37556.0,2.4,pumpswap,https://dexscreener.com/solana/8avb1jd4imtmu141yn9zwevfru3mgwrtg75wx4oyhghb,False,False,False,1,0.0,0.0,,v7_entry_filters_2026-06-06,tp_30,0.27,0.7,e4_rt_feed_quote_gate
2326db95,2fdc13ce,solana,FFvmV8b8BaC7tgBeYfZGW4mpe3NosUKKyHfnmTS6pump,PUMP,social_alert,strong,1.525e-05,2026-06-23 02:36:03,1.525e-05,2026-06-23 02:36:03,3,2.438e-06,2026-06-23 02:37:51,hard_stop,-2.5204,-84.01,1.922e-05,-0.35,0,,0.6,0.8,0.74,213.0,527.0,527.0,267,117,696,444,0.695,0.611,14868.79,46449.49,46449.49,0.0,15252.29,15252.29,9.8,pumpfun,https://dexscreener.com/solana/5f6ufdahy9gjctnkheohzfr91csemtfbor2adz7g5dnr,False,False,False,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,,0.0,1.0,e4_rt_feed_quote_gate
cc1b87d4,2ce21065,solana,HmjTbUWcQ1RCZJ6iSt5JwM6SWXsyqvspd2Vg29Mqpump,FUCKANSEM,social_alert,medium,1.653e-05,2026-06-23 02:43:30,1.653e-05,2026-06-23 02:43:30,3,2.411e-06,2026-06-23 02:46:37,hard_stop,-2.5624,-85.41,1.921e-05,-0.35,0,,0.65,0.8,0.755,60.32,581.0,581.0,284,225,647,375,0.558,0.633,24593.79,47468.67,47468.67,0.0,16533.76,16533.76,11.0,pumpfun,https://dexscreener.com/solana/d8wqcdatypo41qaguu8v3jcv5jgqcrqonqkpht9kqndp,True,False,False,0.0,0.0,0.0,,v7_entry_filters_2026-06-06,,0.0,1.0,e4_rt_feed_quote_gate
